"code","itemname","Dataset","Description"
"Ed_Attend","Attendance rate","care0145","Education of children receiving care and support at 31 March by child status, gender and local authority"
"Ed_PLASC_FSM","Percentage of children with eligibilty for free school meals","care0145","Education of children receiving care and support at 31 March by child status, gender and local authority"
"Ed_PLASC_SEN_AP","Percentage of children with special educational needs subject to school action or school action plus","care0145","Education of children receiving care and support at 31 March by child status, gender and local authority"
"Ed_PLASC_SEN_S","Percentage of children with a statement of special educational needs","care0145","Education of children receiving care and support at 31 March by child status, gender and local authority"
"CINPerPop","Children receiving care and support at 31 March per 10,000 population aged under 18","care0146","Children receiving care and support at 31 March per 10,000 population aged under 18 by local authority"
"1","Neglect","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"2","Physical abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"3","Sexual abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"4","Emotional / Psychological abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"5","Neglect and Physical abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"6","Neglect and Sexual abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"7","Physical abuse and Sexual abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"8","Neglect, Physical abuse, and  Sexual abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"9","Financial abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"10","Neglect, physical abuse, sexual abuse and financial abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"11","Neglect, physical abuse and financial abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"12","Neglect, sexual abuse and financial abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"13","Financial abuse, physical abuse and sexual abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"14","Neglect and financial abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"15","Financial abuse and physical abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"16","Financial abuse and sexual abuse","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"99","Total","care0147","Children receiving care and support on the Child Protection Register by local authority, category of abuse and gender"
"0001","Under 1 year","care0150","Immunisations of children receiving care and support at 31 March by age and looked after status"
"0099","All Ages","care0150","Immunisations of children receiving care and support at 31 March by age and looked after status"
"0104","1 to 4 years","care0150","Immunisations of children receiving care and support at 31 March by age and looked after status"
"0509","5 to 9 years","care0150","Immunisations of children receiving care and support at 31 March by age and looked after status"
"1015","10 to 15 years","care0150","Immunisations of children receiving care and support at 31 March by age and looked after status"
"1699","16 years and over","care0150","Immunisations of children receiving care and support at 31 March by age and looked after status"
"0","Children receiving care and support, but not looked after, and not on the child protection register at 31st March","care0151","Mental health status of children receiving care and support by local authority and measure"
"1","Children on the child protection register, but not looked after at 31st March","care0151","Mental health status of children receiving care and support by local authority and measure"
"2","Children looked after at 31 March","care0151","Mental health status of children receiving care and support by local authority and measure"
"99","All children receiving care and support","care0151","Mental health status of children receiving care and support by local authority and measure"
"0","Children receiving care and support, but not looked after, and not on the child protection register at 31st March","care0152","Substance misuse status of children receiving care and support by local authority and measure"
"1","Children on the child protection register, but not looked after at 31st March","care0152","Substance misuse status of children receiving care and support by local authority and measure"
"2","Children looked after at 31 March","care0152","Substance misuse status of children receiving care and support by local authority and measure"
"99","All children receiving care and support","care0152","Substance misuse status of children receiving care and support by local authority and measure"
"Ed_KS1_CSI","Percentage of children achieving the core subject indicator at key stage 1","care0153","Educational attainment of children receiving care and support by measure and year"
"Ed_KS4_5AC","Percentage of children achieving 5 or more GCSE passes at A*-C","care0153","Educational attainment of children receiving care and support by measure and year"
"Ed_KS4_5AG","Percentage of children achieving 5 or more GCSE passes at A*-G","care0153","Educational attainment of children receiving care and support by measure and year"
"Ed_KS5_L3","Percentage of children achieving the level 3 threshold at key stage 5","care0153","Educational attainment of children receiving care and support by measure and year"
"Ed_KS5_Points","Average wider points score at key stage 5","care0153","Educational attainment of children receiving care and support by measure and year"
"Ed_KS4_CSI","Percentage of children achieving the core subject indicator at key stage 4","care0153","Educational attainment of children receiving care and support by measure and year"
"Ed_KS4_L2","Percentage of children achieving the level 2 threshold at key stage 4","care0153","Educational attainment of children receiving care and support by measure and year"
"Ed_KS4_L2_EWM","Percentage of children achieving the level 2 threshold including English/Welsh and Mathematics at key stage 4","care0153","Educational attainment of children receiving care and support by measure and year"
"Ed_FPI","Percentage of children achieving the foundation phase indicator","care0153","Educational attainment of children receiving care and support by measure and year"
"Ed_KS4_CapPts","Average capped points score at key stage 4","care0153","Educational attainment of children receiving care and support by measure and year"
"Ed_KS4_Points","Average wider points score at key stage 4","care0153","Educational attainment of children receiving care and support by measure and year"
"Ed_KS2_CSI","Percentage of children achieving the core subject indicator at key stage 2","care0153","Educational attainment of children receiving care and support by measure and year"
"Ed_KS3_CSI","Percentage of children achieving the core subject indicator at key stage 3","care0153","Educational attainment of children receiving care and support by measure and year"
"Ed_KS4_L1","Percentage of children achieving the level 1 threshold at key stage 4","care0153","Educational attainment of children receiving care and support by measure and year"
"0","Children receiving care and support, but not looked after, and not on the child protection register at 31st March","care0157","Children receiving care and support by asylum seeker status, gender and looked after status"
"1","Children on the child protection register, but not looked after at 31st March","care0157","Children receiving care and support by asylum seeker status, gender and looked after status"
"2","Children looked after at 31 March","care0157","Children receiving care and support by asylum seeker status, gender and looked after status"
"99","All children receiving care and support","care0157","Children receiving care and support by asylum seeker status, gender and looked after status"
"0001","Under 1 year","care0136","Children receiving care and support at 31 March by age group, gender, looked after status and ethnicity"
"0104","1 to 4 years","care0136","Children receiving care and support at 31 March by age group, gender, looked after status and ethnicity"
"0509","5 to 9 years","care0136","Children receiving care and support at 31 March by age group, gender, looked after status and ethnicity"
"1015","10 to 15 years","care0136","Children receiving care and support at 31 March by age group, gender, looked after status and ethnicity"
"1699","16 years and over","care0136","Children receiving care and support at 31 March by age group, gender, looked after status and ethnicity"
"0099","All Ages","care0136","Children receiving care and support at 31 March by age group, gender, looked after status and ethnicity"
"0","Children receiving care and support, but not looked after, and not on the child protection register at 31st March","care0137","Children receiving care and support at 31 March by looked after status, category of need and disability"
"1","Children on the child protection register, but not looked after at 31st March","care0137","Children receiving care and support at 31 March by looked after status, category of need and disability"
"2","Children looked after at 31 March","care0137","Children receiving care and support at 31 March by looked after status, category of need and disability"
"99","All children receiving care and support","care0137","Children receiving care and support at 31 March by looked after status, category of need and disability"
"0","Children receiving care and support, but not looked after, and not on the child protection register at 31st March","care0139","Dental checks of children receiving care and support aged 5 and over at 31 March, by looked after status"
"1","Children on the child protection register, but not looked after at 31st March","care0139","Dental checks of children receiving care and support aged 5 and over at 31 March, by looked after status"
"2","Children looked after at 31 March","care0139","Dental checks of children receiving care and support aged 5 and over at 31 March, by looked after status"
"99","All children receiving care and support","care0139","Dental checks of children receiving care and support aged 5 and over at 31 March, by looked after status"
"Dis","Percentage of children with a disability","care0141","Disabilities of children receiving care and support at the 31 March, by measure and year"
"Dis_Mob","Percentage of children with a mobility disability","care0141","Disabilities of children receiving care and support at the 31 March, by measure and year"
"Dis_ManDex","Percentage of children with a manual dexterity disability","care0141","Disabilities of children receiving care and support at the 31 March, by measure and year"
"Dis_PhysCoord","Percentage of children with a physical co-ordination disability","care0141","Disabilities of children receiving care and support at the 31 March, by measure and year"
"Dis_Cont","Percentage of children with a continence disability","care0141","Disabilities of children receiving care and support at the 31 March, by measure and year"
"Dis_LiftCarry","Percentage of children unable to lift, carry or otherwise move everyday objects","care0141","Disabilities of children receiving care and support at the 31 March, by measure and year"
"Dis_SpkHearSee","Percentage of children with a speech, hearing and eye sight disability","care0141","Disabilities of children receiving care and support at the 31 March, by measure and year"
"Dis_Mem","Percentage of children with a memory disability","care0141","Disabilities of children receiving care and support at the 31 March, by measure and year"
"Dis_PerRiskDang","Percentage of children unable to perceive the risk of physical danger","care0141","Disabilities of children receiving care and support at the 31 March, by measure and year"
"Hlth_Imm","Percentage of children with up-to-date immunisations","care0142","Health of children receiving care and support by measure and year, year ending 31 March"
"Hlth_Dent","Percentage of children with up-to-date dental checks (for children aged 5 and over)","care0142","Health of children receiving care and support by measure and year, year ending 31 March"
"Hlth_SubMis","Percentage of children with substance misuse problems  (for children aged 10 and over)","care0142","Health of children receiving care and support by measure and year, year ending 31 March"
"Hlth_Ment","Percentage of children with mental health problems (for children aged 10 and over)","care0142","Health of children receiving care and support by measure and year, year ending 31 March"
"Hlth_CHSC","Percentage of children with up-to-date child health surveillance checks (for children aged 0 to 5)","care0142","Health of children receiving care and support by measure and year, year ending 31 March"
"Hlth_ASD","Percentage of children with autistic spectrum disorder","care0142","Health of children receiving care and support by measure and year, year ending 31 March"
"N1","Abuse or neglect","care0038","Children starting to be looked after by local authorities, by need for care, year ending 31 March"
"N2","Disability","care0038","Children starting to be looked after by local authorities, by need for care, year ending 31 March"
"N3","Parental illness or disability","care0038","Children starting to be looked after by local authorities, by need for care, year ending 31 March"
"N4","Family in acute stress","care0038","Children starting to be looked after by local authorities, by need for care, year ending 31 March"
"N5","Family dysfunction","care0038","Children starting to be looked after by local authorities, by need for care, year ending 31 March"
"N6","Socially Unacceptable Behaviour","care0038","Children starting to be looked after by local authorities, by need for care, year ending 31 March"
"N8","Absent Parenting (including child given up for adoption)","care0038","Children starting to be looked after by local authorities, by need for care, year ending 31 March"
"N9","Adoption disruption","care0038","Children starting to be looked after by local authorities, by need for care, year ending 31 March"
"ZZ","Total children starting to be looked after by need for care","care0038","Children starting to be looked after by local authorities, by need for care, year ending 31 March"
"N2","Disability","care0041","Short breaks for children looked after by local authority and need for care, year ending 31 March"
"N3","Parental illness or disability","care0041","Short breaks for children looked after by local authority and need for care, year ending 31 March"
"NN","Family in acute stress or family dysfunction","care0041","Short breaks for children looked after by local authority and need for care, year ending 31 March"
"Z1","Other need for care","care0041","Short breaks for children looked after by local authority and need for care, year ending 31 March"
"ZZ","Total children starting to be looked after by need for care","care0041","Short breaks for children looked after by local authority and need for care, year ending 31 March"
"X","Unknown","care0044","Foster care adopters and duration of final period of care"
"A","All adoptions","care0044","Foster care adopters and duration of final period of care"
"Y","Adopted by foster carer","care0044","Foster care adopters and duration of final period of care"
"N","Not adopted by foster carer","care0044","Foster care adopters and duration of final period of care"
"0799","7 years and over","care0045","Looked after children adopted by age of children at start of last period of care and the length of time until adoption, year ending 31 March"
"0203","2 to 3 years","care0045","Looked after children adopted by age of children at start of last period of care and the length of time until adoption, year ending 31 March"
"0099","All ages","care0045","Looked after children adopted by age of children at start of last period of care and the length of time until adoption, year ending 31 March"
"0102","1 to 2 years","care0045","Looked after children adopted by age of children at start of last period of care and the length of time until adoption, year ending 31 March"
"0607","6 to 7 years","care0045","Looked after children adopted by age of children at start of last period of care and the length of time until adoption, year ending 31 March"
"0001","Under 1 year","care0045","Looked after children adopted by age of children at start of last period of care and the length of time until adoption, year ending 31 March"
"0506","5 to 6 years","care0045","Looked after children adopted by age of children at start of last period of care and the length of time until adoption, year ending 31 March"
"0405","4 to 5 years","care0045","Looked after children adopted by age of children at start of last period of care and the length of time until adoption, year ending 31 March"
"0304","3 to 4 years","care0045","Looked after children adopted by age of children at start of last period of care and the length of time until adoption, year ending 31 March"
"1","Inside local authority in Wales","care0156","Children looked after in foster care at 31 March by location of placement"
"2","Outside local authority in Wales","care0156","Children looked after in foster care at 31 March by location of placement"
"3","Placed outside of Wales","care0156","Children looked after in foster care at 31 March by location of placement"
"4","No Postcode","care0156","Children looked after in foster care at 31 March by location of placement"
"5","Total","care0156","Children looked after in foster care at 31 March by location of placement"
"1","Total number of patients resident in the LHB with a valid CTP at the end of the month","hlth3001","Mental Health (Wales) Measure Part 2 - Care and Treatment Plans"
"4","Total number of patients resident in the LHB currently in receipt of secondary Mental Health services at the end of the month","hlth3001","Mental Health (Wales) Measure Part 2 - Care and Treatment Plans"
"5","Percentage of patients resident in the LHB, who are in receipt of secondary mental health services, who have a valid CTPs","hlth3001","Mental Health (Wales) Measure Part 2 - Care and Treatment Plans"
"0001","Under 1 year","care0046","Looked after children adopted, by time in days between the different stages of the adoption process, by age at start of period of care, year ending 31 March"
"0102","1 to 2 years","care0046","Looked after children adopted, by time in days between the different stages of the adoption process, by age at start of period of care, year ending 31 March"
"0203","2 to 3 years","care0046","Looked after children adopted, by time in days between the different stages of the adoption process, by age at start of period of care, year ending 31 March"
"0304","3 to 4 years","care0046","Looked after children adopted, by time in days between the different stages of the adoption process, by age at start of period of care, year ending 31 March"
"0405","4 to 5 years","care0046","Looked after children adopted, by time in days between the different stages of the adoption process, by age at start of period of care, year ending 31 March"
"0506","5 to 6 years","care0046","Looked after children adopted, by time in days between the different stages of the adoption process, by age at start of period of care, year ending 31 March"
"0607","6 to 7 years","care0046","Looked after children adopted, by time in days between the different stages of the adoption process, by age at start of period of care, year ending 31 March"
"0799","7 years and over","care0046","Looked after children adopted, by time in days between the different stages of the adoption process, by age at start of period of care, year ending 31 March"
"0099","All ages","care0046","Looked after children adopted, by time in days between the different stages of the adoption process, by age at start of period of care, year ending 31 March"
"1","CH/015: The number of children with a care and support plan at 31st March","care0170","Children with a care and support plan at 31st March, by local authority"
"2","CH/016: The total number of children with a care and support plan where needs are met through a Direct Payment at 31st March","care0170","Children with a care and support plan at 31st March, by local authority"
"4","CH/053d: category 4","care0176","Care experienced young people at the 31 March, by local authority and category"
"5","CH/053e: category 5","care0176","Care experienced young people at the 31 March, by local authority and category"
"6","CH/053f: category 6","care0176","Care experienced young people at the 31 March, by local authority and category"
