seriesCode,sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,seriesName,bestBound,worstBound,instrumental,invert,color
sdg3_hiv,3,0.794,0.791,0.755,0.721,0.669,0.63,0.59,0.557,0.541,0.518,0.504,0.484,0.465,0.451,0.434,0.425,0.41600000000000004,0.398,0.385,0.374,0.356,0.357,0.357,"New HIV infections (per 1,000 uninfected population)",5.5,0.0,1,1.0,#4C9F38
sdg3_ncds,3,23.86,23.818,23.354,23.545,23.456,23.43,23.415,23.622,23.628,23.488,23.309,23.174,23.227,23.309,23.592,23.665,23.528000000000002,23.348,23.129,22.987000000000002,23.02,23.056,23.094,"Age-standardized death rate due to cardiovascular disease, cancer, diabetes, or chronic respiratory disease in adults aged 30–70 years (%)",31.0,9.3,1,1.0,#4C9F38
sdg3_traffic,3,12.866,14.129,12.133000000000001,11.222,11.887,12.258000000000001,12.849,13.759,13.103,12.471,11.514000000000001,11.336,10.736,10.949,9.987,9.743,10.112,10.129,9.054,9.021,9.018,9.017,9.016,"Traffic deaths (per 100,000 population)",33.7,3.2,1,1.0,#4C9F38
sdg3_lifee,3,72.60000000000001,72.605,72.609,72.612,72.615,72.617,72.619,72.619,72.619,72.617,74.825,74.821,74.816,74.811,74.807,75.677,75.676,75.675,75.674,76.258,76.258,76.258,76.258,Life expectancy at birth (years),54.0,83.0,1,0.0,#4C9F38
sdg3_fertility,3,68.491,67.917,66.809,66.044,61.883,58.989000000000004,58.355000000000004,60.131,61.356,62.147,61.734,60.984,58.789,58.484,58.056000000000004,55.858000000000004,55.019,48.369,48.656,48.979,48.999,49.038000000000004,49.086,"Adolescent fertility rate (births per 1,000 females aged 15 to 19)",139.6,2.5,1,1.0,#4C9F38
sdg3_births,3,98.36200000000001,98.553,98.993,98.897,99.059,99.668,93.60600000000001,99.664,99.634,99.729,99.69200000000001,98.122,99.34700000000001,99.772,99.03,99.028,99.027,99.026,99.10000000000001,99.10000000000001,99.10000000000001,99.101,99.101,Births attended by skilled health personnel (%),23.1,100.0,1,0.0,#4C9F38
sdg3_vac,3,88.88600158691406,91.13200378417969,90.64299774169922,88.4729995727539,89.24299621582031,94.76100158691406,89.16300201416016,94.66999816894531,91.58499908447266,94.11699676513672,92.29900360107422,93.23200225830078,90.7750015258789,92.85800170898438,88.39299774169922,86.58799743652344,80.37699890136719,83.0770034790039,84.05400085449219,81.41899871826172,74.55999755859375,74.55500030517578,74.5469970703125,Surviving infants who received 2 WHO-recommended vaccines (%),41.0,100.0,1,0.0,#4C9F38
sdg3_uhc,3,48.27199935913086,48.27199935913086,48.27199935913086,48.27299880981445,48.275001525878906,62.60599899291992,62.60100173950195,62.5989990234375,62.60100173950195,62.60499954223633,63.887001037597656,63.89799880981445,63.9109992980957,63.92599868774414,63.939998626708984,66.00499725341797,66.01200103759766,67.23100280761719,67.23100280761719,67.91500091552734,67.91300201416016,67.91100311279297,67.90799713134766,Universal health coverage (UHC) index of service coverage (worst 0-100 best),38.2,100.0,1,0.0,#4C9F38
sdg3_swb,3,5.1850000000000005,5.182,5.179,5.176,5.173,5.172,5.173,5.206,5.15,5.224,5.13,5.426,5.206,5.3500000000000005,5.309,5.106,5.023,5.297,5.199,5.4,5.136,5.353,5.352,"Subjective well-being (average ladder score, worst 0-10 best)",3.3,7.6,1,0.0,#4C9F38
sdg4_earlyedu,4,70.849,71.485,71.095,72.137,71.71600000000001,72.19,73.507,74.575,68.375,67.284,67.272,72.758,75.357,76.39,76.785,74.697,74.492,76.89,75.892,74.45,76.086,76.09,76.08,Participation rate in pre-primary organized learning (% of children aged 4 to 6),35.0,100.0,1,0.0,#C5192D
sdg4_primary,4,98.563,98.051,97.937,97.307,97.209,97.173,96.989,96.313,95.488,94.083,93.653,95.554,94.887,95.476,97.46000000000001,98.128,98.024,98.67,98.423,98.35000000000001,97.35900000000001,97.36,97.36200000000001,Net primary enrollment rate (%),53.8,100.0,1,0.0,#C5192D
sdg4_second,4,77.077,73.551,74.842,76.288,78.765,81.196,80.46300000000001,81.45700000000001,82.801,82.049,82.575,79.793,80.79,81.217,81.281,81.142,82.383,82.764,79.169,77.362,77.072,76.959,76.839,Lower secondary completion rate (%),18.0,100.0,1,0.0,#C5192D
sdg4_literacy,4,99.392,99.392,99.392,99.392,99.392,99.392,99.392,99.392,99.293,99.294,99.293,99.18900000000001,99.259,99.297,99.279,99.278,99.48100000000001,99.48100000000001,99.492,99.63,99.688,99.687,99.687,Literacy rate (% of population aged 15 to 24),45.2,100.0,1,0.0,#C5192D
sdg5_edat,5,85.016,84.93,84.84400000000001,84.758,84.67,86.217,86.124,86.03,85.935,85.842,85.865,87.016,87.571,87.991,88.633,87.69500000000001,89.44200000000001,89.995,90.062,88.97200000000001,88.917,88.86,88.8,Ratio of female-to-male mean years of education received (%),41.8,100.0,1,0.0,#FF3A21
sdg5_lfpr,5,68.55,68.355,68.214,68.34700000000001,68.376,67.519,67.217,67.786,68.231,67.834,67.818,67.8,67.295,68.234,68.81700000000001,69.506,70.058,70.694,70.547,72.70400000000001,71.703,71.705,71.703,Ratio of female-to-male labor force participation rate (%),21.5,100.0,1,0.0,#FF3A21
sdg5_parl,5,9.238,9.316,10.481,12.472,12.689,12.816,13.359,17.18,18.06,21.118000000000002,20.646,21.556,27.431,27.94,28.651,28.784,29.361,30.869,30.977,33.142,34.384,34.383,34.38,Seats held by women in national parliament (%),1.2,50.0,1,0.0,#FF3A21
sdg6_water,6,91.456,91.48100000000001,91.571,91.657,91.741,92.01,92.276,92.547,92.813,93.07300000000001,93.327,93.577,93.81,94.051,94.275,94.533,94.792,95.05,95.321,95.575,95.828,95.82900000000001,95.83,Population using at least basic drinking water services (%),40.0,100.0,1,0.0,#26BDE2
sdg6_sanita,6,93.496,93.574,93.66,93.746,93.831,94.087,94.342,94.614,94.885,95.154,95.423,95.691,95.958,96.22500000000001,96.491,96.758,97.025,97.29,97.499,97.61,97.706,97.70700000000001,97.708,Population using at least basic sanitation services (%),9.7,100.0,1,0.0,#26BDE2
sdg7_elecac,7,100.0,99.881,99.702,100.0,99.936,99.843,99.766,99.93900000000001,99.911,99.91,99.86200000000001,99.876,99.98400000000001,99.852,99.744,99.89,99.982,99.982,99.976,99.901,99.901,99.901,99.901,Population with access to electricity (%),9.1,100.0,1,0.0,#FCC30B
sdg7_cleanfuel,7,54.441,55.238,55.996,57.023,57.757,58.729,59.526,60.101,60.922000000000004,61.567,62.178000000000004,62.892,63.222,63.879,64.333,64.4,64.869,65.18,65.392,65.81,65.82900000000001,65.843,65.852,Population with access to clean fuels and technology for cooking (%),2.0,100.0,1,0.0,#FCC30B
sdg7_co2twh,7,1.455,1.495,1.52,1.456,1.433,1.445,1.441,1.539,1.466,1.286,1.24,1.465,1.385,1.214,1.282,1.235,1.212,1.389,1.237,1.444,1.444,1.443,1.443,CO₂ emissions from fuel combustion per total electricity output (MtCO₂/TWh),5.9,0.0,1,1.0,#FCC30B
sdg7_ren,7,30.93,31.893,30.473,30.266000000000002,30.698,28.903000000000002,27.795,27.560000000000002,27.148,27.267,26.133,26.453,26.795,26.357,26.722,26.61,25.439,26.73,26.962,26.639,26.688,26.746000000000002,26.811,Share of renewable energy in total primary energy supply (%),3.0,51.0,1,0.0,#FCC30B
sdg8_accounts,8,56.294000000000004,56.277,56.267,56.266,56.273,56.287,56.31,56.341,56.377,56.412,56.442,56.465,56.482,56.494,67.822,67.858,67.883,64.458,64.459,64.45700000000001,64.45400000000001,64.45,64.44500000000001,Adults with an account at a bank or other financial institution or with a mobile-money-service provider (% of population aged 15 or over),8.0,100.0,1,0.0,#A21942
sdg8_rights,8,0.614,0.614,0.613,0.613,0.613,0.613,0.613,0.614,0.614,0.614,0.615,0.615,0.615,0.615,0.615,0.601,0.601,0.605,0.585,0.587,0.579,0.579,0.579,Fundamental labor rights are effectively guaranteed (worst 0–1 best),0.3,0.85,1,0.0,#A21942
sdg8_impacc,8,1.307,1.199,1.166,1.1480000000000001,1.12,1.342,1.395,1.399,1.431,1.178,1.248,1.254,1.2570000000000001,1.258,1.2570000000000001,1.0030000000000001,1.002,1.0010000000000001,0.999,0.997,0.995,0.993,0.991,"Fatal work-related accidents embodied in imports (per 100,000 population)",6.0,0.0,1,1.0,#A21942
sdg9_intuse,9,4.5520000000000005,5.769,7.925,9.5,11.953,13.176,14.59,16.894000000000002,18.629,20.958000000000002,22.905,25.891000000000002,28.447,31.970000000000002,33.93,37.58,42.831,47.94,52.227000000000004,53.838,55.637,55.51,55.375,Population using the internet (%),2.2,100.0,1,0.0,#FD6925
sdg9_mobuse,9,12.168000000000001,12.139000000000001,12.116,12.099,12.088000000000001,12.08,12.077,12.079,12.088000000000001,12.102,13.094,25.071,37.847,43.465,53.569,58.344,62.08,67.46000000000001,72.258,74.299,74.3,74.295,74.281,Mobile broadband subscriptions (per 100 population),1.4,100.0,1,0.0,#FD6925
sdg9_lpi,9,2.275,2.275,2.275,2.275,2.2760000000000002,2.279,2.2840000000000003,2.29,2.2960000000000003,2.302,2.307,2.31,2.412,2.4130000000000003,2.449,2.45,2.345,2.345,2.327,2.327,2.326,2.326,2.325,Logistics Performance Index: Quality of trade and transport-related infrastructure (worst 1-5 best),1.6,3.8,1,0.0,#FD6925
sdg9_articles,9,0.155,0.16,0.171,0.189,0.221,0.24,0.26,0.255,0.266,0.28800000000000003,0.307,0.323,0.343,0.359,0.371,0.373,0.387,0.397,0.404,0.423,0.454,0.452,0.452,"Articles published in academic journals (per 1,000 population)",0.0,1.2,1,0.0,#FD6925
sdg9_rdex,9,0.496,0.561,0.5650000000000001,0.562,0.582,0.5710000000000001,0.526,0.56,0.634,0.608,0.5760000000000001,0.481,0.498,0.524,0.532,0.553,0.504,0.515,0.548,0.546,0.544,0.542,0.541,Expenditure on research and development (% of GDP),0.0,3.7,1,0.0,#FD6925
sdg11_pm25,11,20.382,20.39,20.403,20.421,20.444,20.519000000000002,20.549,20.583000000000002,20.616,20.642,20.556,21.016000000000002,20.275000000000002,19.476,18.403,19.05,17.926000000000002,18.04,17.771,17.504,17.535,17.556,17.568,Annual mean concentration of particulate matter of less than 2.5 microns in diameter (PM2.5) (μg/m³),87.0,6.3,1,1.0,#FD9D24
sdg11_pipedwat,11,97.383,97.284,97.185,97.08500000000001,96.98700000000001,96.908,96.831,96.75,96.672,96.59400000000001,96.516,96.437,96.35600000000001,96.272,96.186,96.08,95.97200000000001,95.86500000000001,95.756,95.648,95.538,95.534,95.531,"Access to improved water source, piped (% of urban population)",6.1,100.0,1,0.0,#FD9D24
sdg11_transport,11,57.014,57.012,57.011,57.011,57.011,57.012,57.014,57.017,59.775,58.128,57.801,56.857,49.317,45.341,46.803000000000004,45.009,50.389,53.514,48.81,48.644,44.704,48.665,48.659,Satisfaction with public transport (%),21.0,82.6,1,0.0,#FD9D24
sdg12_nprod,12,7.048,7.032,7.019,7.005,6.987,6.96,6.925,6.884,6.84,6.799,6.764,6.992,7.527,6.84,7.267,7.423,7.4,7.375,7.351,7.328,7.307,7.288,7.271,Production-based nitrogen emissions (kg/capita),100.0,2.0,1,1.0,#BF8B2E
sdg12_nimport,12,2.903,2.899,2.8970000000000002,2.896,2.895,2.896,2.8970000000000002,2.898,2.9010000000000002,2.9050000000000002,2.9090000000000003,3.619,4.343,4.456,4.695,4.96,4.9670000000000005,4.972,4.9750000000000005,4.977,4.978,4.978,4.978,Nitrogen emissions embodied in imports (kg/capita),45.0,0.0,1,1.0,#BF8B2E
sdg12_explastic,12,1.301,1.304,1.307,1.309,1.311,1.313,1.315,1.316,1.317,1.318,1.318,1.317,1.316,1.315,1.313,1.312,1.311,1.311,1.311,1.311,1.312,1.312,1.313,Exports of plastic waste (kg/capita),12.0,0.0,1,1.0,#BF8B2E
sdg13_co2gcp,13,3.194,3.142,3.1710000000000003,3.3040000000000003,3.1750000000000003,3.064,3.27,3.515,3.72,4.159,3.72,3.174,3.391,3.52,3.509,3.649,3.181,3.09,3.182,3.197,3.02,3.019,3.016,CO₂ emissions from fossil fuel combustion and cement production (tCO2/capita),20.0,0.0,1,1.0,#3F7E44
sdg13_co2import,13,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.593,0.593,0.593,0.593,0.709,0.5700000000000001,0.547,0.551,0.448,0.47600000000000003,0.557,0.581,0.581,0.58,0.58,0.58,CO₂ emissions embodied in imports (tCO₂/capita),3.2,0.0,1,1.0,#3F7E44
sdg14_cpma,14,7.724,7.7250000000000005,7.724,7.719,17.96,27.795,27.748,32.129,32.057,31.988,52.309000000000005,52.234,52.178000000000004,58.119,58.087,58.061,58.077,58.064,58.055,61.232,61.223,61.21,61.193,Mean area that is protected in marine sites important to biodiversity (%) ,0.0,100.0,1,0.0,#0A97D9
sdg14_cleanwat,14,47.411,47.406,47.399,47.389,47.376,47.359,47.337,47.314,47.294000000000004,47.287,47.296,47.326,47.374,47.327,46.675000000000004,47.224000000000004,49.613,49.796,49.685,49.468,49.472,49.489000000000004,49.5,Ocean Health Index: Clean Waters score (worst 0-100 best),28.6,100.0,1,0.0,#0A97D9
sdg14_fishstocks,14,11.771,11.495000000000001,11.096,11.521,11.453,11.705,11.22,11.149000000000001,10.733,10.73,9.744,11.558,11.876,11.803,13.432,16.716,19.252,15.071,11.389000000000001,11.374,11.357000000000001,11.337,11.314,Fish caught from overexploited or collapsed stocks (% of total catch),90.7,0.0,1,1.0,#0A97D9
sdg14_trawl,14,35.88,34.4,35.277,35.422000000000004,35.15,35.12,35.725,35.462,35.382,34.72,35.089,35.07,35.379,35.354,33.906,37.502,35.699,33.577,38.203,38.319,38.412,38.477000000000004,38.513,Fish caught by trawling or dredging (%),90.0,1.0,1,1.0,#0A97D9
sdg14_discard,14,2.281,2.414,2.189,2.22,2.344,2.412,2.218,2.149,2.0220000000000002,2.08,2.113,3.103,2.846,2.32,2.685,2.515,2.6710000000000003,2.859,2.64,2.6550000000000002,2.6670000000000003,2.676,2.6830000000000003,Fish caught that are then discarded (%),20.0,0.0,1,0.0,#0A97D9
sdg15_cpta,15,16.158,17.469,17.482,17.504,18.009,20.131,20.359,22.7,25.091,25.084,26.063,26.53,27.036,27.8,27.931,28.969,29.01,29.014,29.983,30.742,30.748,30.754,30.758,Mean area that is protected in terrestrial sites important to biodiversity (%),0.0,100.0,1,0.0,#56C02B
sdg15_cpfa,15,9.016,28.569,28.463,28.355,47.642,47.595,47.859,47.800000000000004,47.941,47.879,55.050000000000004,54.945,58.325,58.218,58.114000000000004,58.007,57.896,57.783,57.667,57.551,57.433,57.314,57.193,Mean area that is protected in freshwater sites important to biodiversity (%),0.0,100.0,1,0.0,#56C02B
sdg15_redlist,15,0.779,0.777,0.776,0.774,0.773,0.772,0.771,0.77,0.769,0.768,0.766,0.765,0.764,0.762,0.76,0.758,0.757,0.755,0.753,0.751,0.75,0.748,0.749,Red List Index of species survival (worst 0-1 best) ,0.6,1.0,1,0.0,#56C02B
sdg15_forchg,15,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.276,0.276,0.277,"Permanent deforestation (% of forest area, 3-year average)",1.5,0.0,1,0.0,#56C02B
sdg16_homicides,16,2.797,3.306,3.138,2.805,2.336,2.379,2.105,2.13,1.937,1.988,2.025,2.078,2.076,1.903,1.903,1.489,1.649,1.347,1.423,1.366,1.311,1.312,1.312,"Homicides (per 100,000 population)",38.0,0.3,1,1.0,#00689D
sdg16_detain,16,51.735,51.784,51.862,51.944,51.725,52.011,52.28,51.239000000000004,51.462,51.227000000000004,46.846000000000004,47.276,48.225,46.556000000000004,46.84,48.454,49.38,46.455,45.998,45.88,45.89,45.898,45.904,Unsentenced detainees (% of prison population),75.0,7.000000000000001,1,1.0,#00689D
sdg16_prs,16,3.411,3.411,3.411,3.411,3.411,3.411,3.411,3.411,3.411,3.411,3.411,3.411,3.412,3.412,3.4130000000000003,3.414,3.414,3.415,3.61,3.6670000000000003,3.823,3.823,3.823,Property Rights (worst 1-7 best),2.5,6.3,1,0.0,#00689D
sdg16_cpi,16,39.53499984741211,39.47999954223633,39.40700149536133,39.332000732421875,39.27799987792969,39.25899887084961,39.279998779296875,39.332000732421875,39.39699935913086,39.452999114990234,39.483001708984375,39.483001708984375,39.45899963378906,38.007999420166016,38.303001403808594,38.448001861572266,38.694000244140625,38.96099853515625,38.683998107910156,38.29800033569336,38.077999114990234,39.17300033569336,39.12099838256836,Corruption Perceptions Index (worst 0-100 best),13.0,88.6,1,0.0,#00689D
sdg16_rsf,16,36.697,36.617,36.537,36.457,36.379,36.304,36.232,36.162,36.095,36.027,35.957,35.885,35.81,35.734,36.375,36.919000000000004,36.854,37.001,36.634,36.19,36.550000000000004,36.395,36.34,Press Freedom Index (best 0-100 worst),80.0,10.0,1,1.0,#00689D
sdg16_justice,16,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.541,0.541,0.541,0.542,0.542,0.542,0.542,0.518,0.518,0.516,0.532,0.527,0.524,0.523,0.523,Access to and affordability of justice (worst 0–1 best),0.1,0.75,1,0.0,#00689D
sdg17_govex,17,9.003,8.98,8.751,8.802,8.819,8.747,8.682,8.65,8.888,8.845,8.784,8.568,8.696,8.677,8.348,8.088000000000001,7.97,7.7780000000000005,7.944,8.112,8.111,8.11,8.109,Government spending on health and education (% of GDP),0.0,15.0,1,0.0,#19486A
sdg17_govrev,17,29.534,30.017,29.195,29.147000000000002,29.451,29.885,30.150000000000002,30.739,30.432000000000002,29.943,29.774,32.467,32.629,29.477,24.962,22.346,19.171,19.946,21.022000000000002,20.629,20.574,20.568,20.563,Other countries: Government revenue excluding grants (% of GDP),10.0,40.0,1,0.0,#19486A
sdg17_statperf,17,64.169,64.146,64.127,64.11,64.096,64.08200000000001,64.068,64.057,64.049,64.048,64.055,64.069,64.09100000000001,64.118,64.144,64.165,64.182,67.75,72.047,72.252,72.257,72.259,72.258,Statistical Performance Index (worst 0-100 best),25.0,100.0,1,0.0,#19486A
